[2021-02-03 22:09:31][4] Processing: App\Jobs\ProcessAwardCodes
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
